Bedroom,Bathroom,Address,Price
2,1.0,"295 Dufferin St., Toronto, ON, M6K 1Z6","$2,574.00"
1,1.0,"51 Guestville Ave, York, ON M6N 4N1, Canada","$1,295.00"
1,1.0,"89 Chestnut St, Toronto, ON M5G 1R1, Canada",$550.00
2,2.0,"Front St W, Toronto, ON M5V 3S8, Canada","$3,200.00"
2,2.0,"220 Victoria St, Toronto, ON M5B 2R6, Canada","$3,099.00"
2,2.0,"28 Wellesley St E, Toronto, ON M4Y, Canada","$3,700.00"
2,2.0,"Temperance St, Toronto, ON M5H 0B1, Canada","$3,000.00"
2,1.0,", Toronto M5J 0B8 ON, Canada","$1,500.00"
2,2.0,"170 Bayview Ave, Toronto, ON M5A 0G4, Canada","$2,999.00"
1,1.0,"125 Western Battey st, M6k 3s2, Toronto, ON","$2,100.00"
2,1.0,"2386  New Street, Burlington, ON, L7R 1J7","$1,775.00"
3,1.5,"2304  Weston Road, Toronto, ON, M9N 1Z3","$2,050.00"
1,1.0,"2304  Weston Road, Toronto, ON, M9N 1Z3","$1,525.00"
2,1.0,"2304  Weston Road, Toronto, ON, M9N 1Z3","$1,799.00"
2,1.0,"1275  Brant St, Burlington, ON, L7P 1X7","$1,875.00"
1,1.0,"50 Charles St E, Toronto, ON M4Y 1T1, Canada","$2,000.00"
1,1.0,"87 Peter St, Toronto, ON M5V 0P1, Canada","$2,100.00"
2,2.0,"120 Homewood Ave, Toronto, ON M4Y 1J3, Canada","$4,100.00"
1,1.0,", M5G2E8, Toronto, ON","$1,200.00"
2,2.0,"m1s0l7, Canada","$2,184.00"
2,2.0,"2155 Burnhamthorpe Rd W, Mississauga, ON L5L 5P4, Canada","$2,350.00"
1,1.0,"3525 Kariya Dr, Mississauga, ON L5B 0C1, Canada","$1,900.00"
1,1.0,"M4L1G3, Canada","$1,100.00"
1,1.0,"Water Walk Dr, Markham, ON L3R, Canada","$1,800.00"
1,1.0,"52 Sumach St, Toronto, ON M5A 3J7, Canada","$3,200.00"
1,1.0,", DOWNTOWN M5V 4A9 ON, Canada","$2,100.00"
1,1.0,"460 Adelaide St E, Toronto, ON, M4V 1K6","$2,480.00"
1,1.0,"1 The Esplanade, Toronto, ON, M5E 0A8","$3,000.00"
1,1.0,"560 King St W, Toronto, ON, M4V 1K6","$2,250.00"
1,1.0,"290 Adelaide Street West, Toronto, ON, M5V 1P6","$1,850.00"
1,1.0,"101 Charles St, TORONTO, ON, M4Y 1V2","$535,000.00"
2,2.0,"1 The Esplanade, Toronto, ON, M5E 0A8","$3,400.00"
1,1.0,"1 SHAW ST, TORONTO, ON, M6K 0A1","$2,180.00"
1,1.0,"The Uptown Residences, 35 Balmuto St, Toronto, ON M4Y 0A3, Canada","$2,550.00"
1,1.0,", L3R9X3, markham, ON","$1,900.00"
1,1.0,", L6G0G3, markham, ON","$1,800.00"
1,1.0,"70 Queens Wharf Rd, Toronto, ON M5V 0E4, Canada","$2,300.00"
1,1.0,"365 Church St, Toronto, ON M5B 1Z9, Canada","$2,250.00"
1,1.0,"88 Scott St, Toronto, ON M5E 1X6, Canada","$1,900.00"
1,1.0,"28 Church St W, Acton, ON L7J 1X4, Canada","$1,175.00"
2,2.0,"8081 Birchmount Rd, Markham, ON L6G 1B3, Canada","$2,300.00"
1,1.0,"255 Richmond St E, Toronto, ON M5A 4T7, Canada","$2,000.00"
1,1.0,"1512 Dufferin Street, M6H3L4, Toronto, ON","$1,650.00"
2,1.0,"170 Sudbury St, Toronto, ON M6J 0A9, Canada","$2,889.00"
2,2.0,"89 McGill St, Toronto, ON M5B 1H3, Canada","$2,800.00"
1,1.0,"# Dundas st w, Denison ave and Dundas st w M5T 2N3 ON, Canada","$1,300.00"
2,1.0,"211 Simcoe St S, Oshawa, ON L1H 4H2, Canada","$1,250.00"
1,1.0,"M6J1T8, Canada","$1,300.00"
1,1.0,"70 Queens Wharf Rd, Toronto, ON M5V 0J2, Canada","$2,400.00"
1,1.0,"89 McGill St, Toronto, ON M5B 1H3, Canada","$2,000.00"
1,1.0,"424 Yonge Street, Toronto, ON, M5B 2H3","$2,450.00"
2,2.0,"424 Yonge Street, Toronto, ON, M5B 2H3","$3,450.00"
1,1.0,"386 Yonge St, Toronto, ON M5G 2K2, Canada","$2,350.00"
2,2.0,", toronto M5B1E4 ON, Canada","$2,900.00"
1,1.0,", Mississauga L5B 0G6 ON, Canada","$2,200.00"
1,1.0,"87 PETER ST, M5V0P1, TORONTO, ON","$1,850.00"
1,1.0,", Mississauga  L5H3B2 ON, Canada","$2,150.00"
1,1.0,"120 Bayview Ave., M5A 0G4, Toronto, ON","$1,900.00"
1,1.0,"51 E Liberty St, Toronto M6K 3P8 ON","$2,200.00"
3,2.0,"M5B0A5, Canada","$4,000.00"
3,2.0,", M5V 2G4, Toronto, ON","$3,200.00"
1,1.0,"300 Front St W, M5E 0E9, Toronto, ON","$2,500.00"
1,1.5,"k , Toronto m8v 2t8 ON, Canada","$1,200.00"
1,1.0,", Toronto m5e0a8 ON","$2,600.00"
1,1.0,"Iceboat Terr, Toronto, ON M5V 4A9, Canada","$1,750.00"
2,2.0,"101 Charles St E, Toronto, ON M4Y 0A9, Canada","$3,575.00"
2,1.0,"75 Queens Wharf Rd, Toronto, ON M5V 0J8, Canada","$3,200.00"
2,1.0,"87 Peter St, Toronto, ON M5V 0P1, Canada","$2,500.00"
1,1.0,"87 Peter Street, Toronto, ON, M5V 0P1","$2,100.00"
1,1.0,"455 Maple Ave, Burlington, ON, L7S 1M1","$1,575.00"
1,1.0,"44 St Joseph Street, Toronto, ON, M4Y 2W4","$2,400.00"
1,2.0,", North York M2j0a9 ON, Canada","$2,000.00"
2,2.0,"540 Sherbourne St, Toronto, ON M4X 1L2, Canada","$2,000.00"
1,1.0,"540 Sherbourne St, Toronto, ON M4X 1L2, Canada","$1,650.00"
2,1.5,"63 Drew St, Oshawa, ON L1H 5A2, Canada","$1,250.00"
1,2.0,", Mississauga L5B4M2 ON, Canada","$2,150.00"
1,1.0,"150 Fairview Mall Dr, North York, ON M2J 2Z2, Canada","$1,600.00"
3,1.5,"19 Sudbury St, Toronto, ON M6J 3W6, Canada","$3,450.00"
1,1.0,"One King Street West, 1 King St W, Toronto, ON M5H 1A1, Canada","$2,950.00"
2,1.0,"63 Drew St, Oshawa, ON L1H 5A2, Canada","$1,350.00"
2,1.0,"333 Adelaide St E, Toronto, ON M5A 4V1, Canada","$2,550.00"
1,1.0,"600 Queens Quay W, Toronto, ON M5V 3M3, Canada","$1,900.00"
1,1.0,", Toronto m8v0b2 ON, Canada","$2,450.00"
1,1.0,"38 Grenville, TORONTO M4Y1A5 ON","$2,500.00"
1,1.0,", Toronto M5J 2H2 ON, Canada","$2,800.00"
1,1.0,"111 Upper Duke, Makrham L6G0C6 ON","$1,600.00"
1,1.0,"200 Sackville St, Toronto, ON M5A 3H1, Canada","$2,099.00"
1,1.0,"424 Adelaide St E, Toronto, ON M5A 1N4, Canada","$2,350.00"
1,1.0,"320 Lonsdale Road, Toronto, ON, M4V 1X4","$1,617.00"
2,1.0,"86 Park Rd S, Oshawa, ON L1J 4G9, Canada","$1,500.00"
1,1.0,"80 Kensington Ave, Toronto, ON M5T 1M1, Canada","$1,750.00"
1,1.0,"Peter St, Toronto, ON M5V 0P1, Canada","$2,100.00"
2,2.0,"39 Upper Duke Cres., L6G 0B8, Markham, ON","$2,150.00"
2,2.0,"M5J2Z2, Canada","$2,800.00"
1,1.0,"96 St Patrick St, Toronto, ON M5T 1V2, Canada","$2,480.00"
1,1.0,"24 Wellesley St W, Toronto, ON M4Y 2X6, Canada","$2,500.00"
2,1.0,"375 King St W, Toronto, ON M5V 1K1, Canada","$1,900.00"
2,2.0,"8 Wellesley St E, Toronto, ON M4Y 3B2, Canada","$3,300.00"
1,1.0,", Markham L6G1B3 ON, Canada","$1,700.00"
2,2.0,", Toronto M5G 0A6 ON, Canada","$2,950.00"
2,2.0,"5 Sheppard Ave E, Toronto, ON, M2N 2Z8","$3,000.00"
1,1.0,"60 Colborne St, Toronto, ON, M5E 1E3","$2,200.00"
2,2.0,"3895 Grand Park Dr, Mississauga, ON L5B 4L6, Canada","$2,300.00"
1,1.0,"170 Bayview Ave, Toronto, ON, M5A 0M4","$2,200.00"
1,1.0,"460 Adelaide St E, Toronto, ON, M5A 1N4","$2,450.00"
1,1.0,"730 Dovercourt Road, Toronto, ON, M6H 2W9","$1,857.00"
1,1.0,"4190 Bathurst Street, Toronto, ON, M3H 3P9","$1,817.00"
1,1.0,"4866 Bathurst Street, Toronto, ON, M2R 1X4","$1,717.00"
2,1.0,"4866 Bathurst Street, Toronto, ON, M2R 1X4","$2,017.00"
2,1.0,"4190 Bathurst Street, Toronto, ON, M3H 3P9","$2,177.00"
1,1.0,"357 Rusholme Road, Toronto, ON, M6H 2Z4","$1,857.00"
1,1.0,"323 Rusholme Road, Toronto, ON, M6H 2Z2","$1,757.00"
1,1.0,"1650 Sheppard Avenue East, Toronto, ON, M2J 1V3","$1,927.00"
1,1.5,"6210 Main St, Whitchurch-Stouffville, ON L4A 2S5, Canada","$1,800.00"
1,1.0,"Toronto, ON, Canada, m4k3p6","$2,000.00"
1,1.0,"M5V3Z7, Canada","$2,350.00"
1,1.0,"Bay st and college st, Toronto M5G 2C8 ON, Canada",$750.00
1,1.0,"88 Scott St, M5E 0A9, Toronto, ON","$1,850.00"
2,1.0,"Homewood Ave, Toronto, ON M4Y 2X4, Canada","$2,100.00"
1,1.0,", Toronto M5Y2T4 ON, Canada","$2,800.00"
2,2.0,"Ultra Ovation, 330 Burnhamthorpe Rd W, Mississauga, ON L5B 0E1, Canada","$2,450.00"
3,2.0,"85 Queens Wharf Rd, Toronto, ON M5V 0J9, Canada","$3,500.00"
1,1.0,"435 Richmond St W, Toronto, ON M5V 1X9, Canada","$2,700.00"
1,1.0,"26 Western Battery Rd, Toronto, ON M6K 3P1, Canada","$2,250.00"
2,2.0,"12 Sudbury St, Toronto, ON M6J, Canada","$3,200.00"
1,1.0,"224 King St W, Toronto, ON M5H 0A6, Canada","$2,400.00"
1,1.5,", markham l3r1l5 ON, Canada","$1,850.00"
2,1.0,"44 Bond St W, Oshawa, ON L1G 6R2, Canada","$1,450.00"
1,1.0,"96 St Patrick Street, Toronto, ON, M5T 1V2","$2,099.00"
3,2.0,"20 Graydon Hall Drive, Toronto, ON, M3A 2Z9","$2,000.00"
1,1.0,"352 Front St W, Toronto, ON, M5V 1B5","$2,300.00"
1,1.0,", Toronto M5H1A1 ON, Canada","$2,200.00"
1,1.5,"89 McGill St, Toronto, ON M5B 1H3, Canada","$2,300.00"
1,1.0,"85 Hamilton St, Toronto, ON M4M 2C7, Canada","$2,500.00"
2,2.0,"York Street, M5J 0E1, Toronto, ON","$3,200.00"
1,1.0,"l5m6j5, Canada","$2,499.00"
2,2.0,"18 Yonge St, Toronto, ON M5E 1Z8, Canada","$3,000.00"
1,2.0,"455 Front St E, Toronto, ON M5A 0G2, Canada","$2,300.00"
1,1.0,"365 Church St Unit 2005, Toronto, ON M5B 0B5, Canada","$1,850.00"
1,2.0,"70 Temperance St, Toronto, ON M5H 0B1, Canada","$2,800.00"
1,1.0,"Isabella St, Toronto, ON, Canada","$1,195.00"
1,1.0,"105 Allan St, Oakville, ON L6J 3N2, Canada","$1,350.00"
1,1.0,"74 John St W, Bradford, ON L3Z, Canada","$1,100.00"
2,1.0,"2087 Duberry Dr, Pickering, ON L1X 1Y7, Canada","$1,730.00"
1,1.0,"91,140,146 Jameson Avenue, Toronto, ON, M6K 2W8","$1,429.00"
1,1.0,"Lower Simcoe St, Toronto, ON M5J 3A6, Canada","$2,400.00"
1,1.0,", M5S 3K4, Toronto, ON","$2,200.00"
1,1.0,"4070 Confederation Pkwy, Mississauga, ON L5B 0E9, Canada","$1,850.00"
1,1.0,"Toronto, ON M5H4E6, Canada","$2,400.00"
1,1.0,"685 Danforth Ave, Toronto, ON M4J 1L2, Canada","$1,300.00"
1,1.0,"88 Harbour St, Toronto, ON M5J 0C3, Canada","$2,600.00"
1,1.0,"57 Charles Street West, Toronto, ON, M4Y 1R9","$2,410.00"
2,1.0,"57 Charles Street West, Toronto, ON, M4Y 1R9","$2,915.00"
2,1.0,"3620 Kaneff Crescent, Mississauga, ON, L5A 3X1","$1,700.00"
2,2.0,"10 Lisa Street, Brampton, ON, L6T 4N4","$1,780.00"
1,1.0,"20 Joe Shuster Way, Toronto, ON M6K 0A3, Canada","$2,200.00"
1,1.5,"Bradford, Bradford West Gwillimbury, ON, Canada, L3Z1A2",$925.00
1,1.0,"87 Peter St, Toronto, ON M5V 2G4, Canada","$2,150.00"
1,1.0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada","$1,950.00"
1,1.0,"430 Pearl St, Burlington, ON L7R 4J8, Canada","$2,200.00"
2,2.0,", Toronto M5B1L4 ON, Canada","$2,800.00"
1,1.0,"25 c, t M5B 1L4 ON, Canada","$2,000.00"
1,1.0,", Burlington L7S 1H7 ON, Canada","$1,375.00"
1,1.0,"7 Concorde Pl, M3C 3n4, Toronto, ON","$1,850.00"
1,1.0,"269 Ontario St, Toronto M5A 2V6 ON","$1,380.00"
1,1.0,"Downtown Toronto, Canada","$2,500.00"
1,1.0,", downtown toronto M5B2E8 ON, Canada","$2,300.00"
2,1.0,", M5J 3A3, Toronto, ON, Canada","$1,180.00"
1,1.0,"19 Grand Trunk Crescent, Toronto, ON M5J 3A3, Canada","$2,650.00"
2,1.0,"49 Boon Ave, Toronto, ON M6E 3Z2, Canada","$2,000.00"
1,1.0,"32 Trolley Cres, M5A 0E8, Toronto, ON","$2,450.00"
1,1.0,"2255 Weston Road, Toronto, ON, M9N 1X9","$1,520.00"
1,1.0,"89  Isabella Street, Toronto, ON, M4Y 1N8","$1,750.00"
2,1.0,"56 annie craig drive, m8v0a5, toronto, ON","$2,550.00"
2,2.0,"77 Maitland Pl, Toronto, ON M4Y 2V6, Canada","$3,200.00"
1,1.0,", Toronto M5X 1K2 ON, Canada","$1,300.00"
1,1.0,"14 York St, M5J 0B1, Toronto, ON","$2,050.00"
1,1.0,"151 Upper Duke Crescent, Unionville, ON L6G 0B6, Canada","$1,900.00"
1,1.0,"1 King St W, Toronto, ON M5H 1A1, Canada","$2,750.00"
1,1.0,"100 Wellesley St E, Toronto, ON M4Y 1H5, Canada","$1,795.00"
1,1.0,"111 St Clair Ave W, Toronto, ON M4V 1N5, Canada","$1,950.00"
2,1.0,"146 Dufferin St, Orangeville, ON L9W 1X2, Canada","$1,790.00"
1,1.0,"112 George St, Toronto, ON M5A 2M5, Canada","$2,450.00"
1,1.0,"8 York St 1701 Toronto   Ontario, M5J2Y2, toronto, ON","$1,830.00"
1,1.0,"41 SANTINA ST , VAUGHAN L4H2M1 ON","$2,400.00"
1,1.0,", Toronto M5J2Z3 ON, Canada","$1,600.00"
2,1.0,"55 Regent Park Blvd, Toronto, ON M5A 2B7, Canada","$1,600.00"
1,1.5,"111 Elizabeth St, Toronto, ON M5G 1P7, Canada","$2,800.00"
1,1.0,"235 Bloor Street East, Toronto, ON, M4W 3Y3","$1,970.00"
1,1.0,"1918 Faylee Crescent, Pickering, ON L1V 2V6, Canada","$1,250.00"
1,1.0,"460 Adelaide St E, Toronto, ON M5A 1N4, Canada","$2,000.00"
2,2.0,", Markham and Whitby L3S 3g2 ON","$2,500.00"
1,1.0,"111 Carlton St, Toronto, ON M5B 2G3, Canada","$1,305.00"
1,1.0,"1 The Esplanade, Toronto, ON M5E 0A8, Canada","$2,600.00"
1,1.0,"155 Yorkville Ave, Toronto, ON M5R 1C4, Canada","$1,900.00"
1,1.0,"Bremner Blvd, Toronto, ON M5J 0A6, Canada","$2,200.00"
1,1.0,"3600 Highway 7, L4L 0G7, Vaughan, ON","$1,950.00"
1,1.0,"10 Park Lawn Rd., M8Y 3K4, Etobicoke, ON","$1,950.00"
2,2.0,"77 Carlton St, Toronto, ON M5B 2J7, Canada","$4,000.00"
1,1.0,"75 Portland St, Toronto, ON M5V 2M9, Canada","$2,700.00"
1,1.0,"6 Bralorne Crescent, M6S4R2, toronto, ON","$1,100.00"
1,1.0,", M5b2e8, Toronto, ON","$1,000.00"
2,2.0,"2910 Hwy 7, Concord, ON L4K 2M7, Canada","$2,500.00"
1,1.0,"5 Mariner Terr, Toronto M5V 3V6 ON","$2,600.00"
1,1.0,"120 Bayview Ave., l4n6e1, Toronto, ON","$2,250.00"
1,1.0,"210 Simcoe St, Toronto, ON M5T 0A9, Canada","$2,400.00"
2,1.0,"620 Lolita Gardens, Mississauga, ON, L5A 3K7","$1,850.00"
2,1.0,"125 Railroad St, Brampton, ON, L6X 1H1","$1,350.00"
1,1.0,"87 Peter st, M5v2g4, Downtown Toronto, ON","$2,050.00"
1,2.0,"525 Adelaide Street West, Toronto, ON, M5V 0N7","$2,650.00"
1,1.0,"m1g2a8, Canada","$1,860.00"
3,2.0,"620 Lolita Gardens, Mississauga, ON, L5A 3K7","$2,100.00"
3,2.0,"M5V1Z5, Canada","$3,900.00"
1,1.0,"352 Front St W, M5V1B5, TORONTO, ON","$2,100.00"
2,1.0,"90 Jameson Avenue, Toronto, ON, M6K 2W8","$1,779.00"
1,1.0,"169 Jameson Avenue, Toronto, ON, M6K 2W8","$1,929.00"
1,1.0,", toronto M5B 1Z8 ON, Canada","$2,000.00"
2,2.0,"1201 North Shore Blvd East, L7S1Z5, Burlington, ON","$3,200.00"
2,2.0,"14 Thorburn, M6K1C5, Toronto, ON","$2,800.00"
1,1.0,", Toronto M8W 3J1 ON, Canada","$1,750.00"
1,1.0,", Between YongeBloor, ChurchWellesley M4Y 2L2 ON, Canada","$1,568.00"
1,1.0,"409 Huron St, Toronto, ON M5S 2S5, Canada","$1,200.00"
2,2.0,"2089 Fairview St, Burlington, ON L7R 2C8, Canada","$2,200.00"
2,2.0,"30 Grand Trunk Crescent, Toronto, ON M5J 3A4, Canada","$3,150.00"
1,1.0,", Toronto M5V1K4 ON, Canada","$1,600.00"
1,1.0,", M6G1S2, Downtown Toronto (Christie/Bloor), ON","$1,500.00"
1,1.0,"2895 Bathurst Street, Toronto, ON, M6B 3A8","$1,750.00"
2,2.0,"8 Mercer Street, M5V0C4, Toronto, ON","$3,100.00"
1,1.0,"M5V3S2, Canada","$2,950.00"
3,1.0,", L2E3R4, Niagara, ON","$1,350.00"
1,1.0,", Toronto M5V3P6 ON, Canada","$1,300.00"
2,2.0,"55 Regent Park Blvd, Toronto, ON M5A 2B7, Canada","$2,600.00"
2,2.0,"3601 Highway 7 E, L6G 0E1, Markham, ON","$2,300.00"
1,1.0,"454 Yonge Street, M4Y 1W9, Toronto, ON","$2,200.00"
1,2.0,", DOWNTOWN M5V 4A9 ON, Canada","$3,600.00"
1,1.0,"21 Balmuto St, Toronto, ON M4Y 1W4, Canada","$2,050.00"
1,1.0,"40 Earl St, Toronto, ON M4Y 1M3, Canada","$1,600.00"
1,1.0,"230 Queens Quay West, Toronto, ON, M5J 2Y7","$2,300.00"
1,1.0,"38 Howard Park Ave, Toronto, ON M6R 0A7, Canada","$2,250.00"
2,2.0,"21 Nelson St, Toronto, ON M5V 3H9, Canada","$4,050.00"
1,1.0,"845 Glencairn Ave, North York, ON M6B 2A4, Canada",$850.00
1,1.0,"633 Bay St, Toronto, ON M5G 2G4, Canada","$2,000.00"
3,2.0,"25 Lower Simcoe St, Toronto, ON M5J 3A1, Canada","$4,200.00"
1,1.0,", M5V 3X4, Toronto, ON","$2,300.00"
2,1.5,"M5V3X1, Canada","$2,300.00"
2,2.0,"8200 Birchmount Rd, Markham, ON L3R 9W1, Canada","$2,475.00"
1,1.0,"Boxford Cres, Mississauga, ON L5M 0P4, Canada","$1,750.00"
1,1.0,"8200 Birchmount Rd #316, Markham, ON L3R 9W1, Canada","$1,690.00"
1,1.0,"200 Jameson Avenue, Toronto, ON, M6K 2Z6","$1,849.00"
1,1.0,", Shelburne L9V3L7 ON, Canada","$1,300.00"
1,1.0,"480 King St W, Toronto, ON M5V 1L7, Canada","$2,200.00"
1,1.0,"37 Penhurst Ave, Etobicoke, ON M8Y 3A9, Canada","$1,450.00"
1,1.0,"Collingwood, Canada","$1,750.00"
1,1.0,"320 Richmond street east, M5A1P9, Toronto, ON","$2,450.00"
2,2.0,"Eva Rd, Etobicoke, ON, M9C 2A8","$2,200.00"
1,1.0,"20 THOMAS RILEY, M9B 0C3, Toronto, ON","$1,799.00"
1,1.0,"120 Bayview Ave, Toronto, ON M5A 0G4, Canada","$2,050.00"
1,1.0,"6210 Main Street, L4A 2S5, Main Street Stouffville, ON","$1,675.00"
1,1.0,"20 Minowan Miikan Lane, Toronto, ON M6J 1M3, Canada","$2,000.00"
1,1.0,"120 Homewood Ave, Toronto, ON, M4Y 2J3","$2,300.00"
3,2.0,"89 McGill Street, Toronto, ON, M5B 0B1","$3,200.00"
1,1.0,"628 Fleet St, Toronto, ON M5V 1A8, Canada","$2,200.00"
1,1.0,", Toronto M6K 1X1 ON, Canada","$1,900.00"
2,1.0,", Toronto  M5V3Z9 ON, Canada","$2,600.00"
2,1.0,"812 Lansdowne Ave, Toronto, ON M6H 4K5, Canada","$2,600.00"
1,1.0,"49 McCaul St, Toronto, ON M5T 1V7, Canada","$3,750.00"
2,1.0,"8 Simcoe St N, Oshawa, ON L1G 4R8, Canada","$1,250.00"
2,1.5,", NA M3N 1J2 ON, Canada","$1,300.00"
1,1.0,"8 The Esplanade, Toronto, ON M5E 0A6, Canada","$2,250.00"
1,1.0,", L1A 1N2, Port Hope, ON, Canada","$1,200.00"
1,1.0,"57 St Joseph St, Toronto, ON M5S 0C5, Canada","$2,300.00"
1,1.0,", Toronto m5s1x6 ON, Canada",$650.00
2,1.0,", Burlington L7S1H7 ON","$2,975.00"
1,1.0,", Toronto M5T2X5 ON, Canada","$2,000.00"
1,1.0,"80 Blue Jays Way, Toronto, ON M5V 2G3, Canada","$4,700.00"
1,1.0,"100 Harbour Street, M5J1B7, Toronto, ON","$2,550.00"
1,1.0,"1060 Sheppard Ave W, Toronto, ON M3J 0G7, Canada","$1,950.00"
2,2.0,"19 Grand Trunk Crescent, Toronto, ON M5J 3A3, Canada","$3,100.00"
2,2.0,"95 Wellington St, Bowmanville, ON L1C 5A1, Canada","$1,850.00"
1,2.0,"70 Distillery Lane, Toronto, ON M5A 0E3, Canada","$1,500.00"
1,1.0,"550 Jarvis Street Jarvis, Toronto, ON, M4Y 2H9","$1,480.00"
3,2.0,"Salvador Allende Ct, Toronto, ON, M6G 0A3","$4,625.00"
1,2.0,"2121 Lake Shore Blvd W, Etobicoke, ON M8V 4E9, Canada","$2,350.00"
1,1.0,"28 Wellesley St E, Toronto, ON M4Y, Canada","$2,100.00"
